,Metabolite,#,growth_media,growth_system,concentration,concentration_units,error,temperature,strain,growth_status,molecules,molecules_error,reference_text,pubmed_id,internal,Minimal/complex,Carbon source,CS concentration [g/L],LB,UB
95,Glutamate,1,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,149000.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,596000000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,133000.0,168000.0
103,Glutamine,1,Mineral medium,Shake flask,578.3333333333334,uM,84.74466223767591,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,493.58867109565745,663.0779955710093
102,Glutamine,4,Luria-Bertani (LB) media,Shake flask,184.0,uM,23.0,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),735600,92000,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,161.0,207.0
105,Glutamine,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,3810.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,15240000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,3500.0,4150.0
107,Glutamine,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,3060.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,12240000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,2620.0,3570.0
110,Glutamine,0,Mineral medium,Bioreactor,383.5,uM,58.38201435373741,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,325.1179856462626,441.8820143537374
109,Glutamine,5,Luria-Bertani (LB) media,Shake flask,248.67,uM,19.86,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),994667,79431,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,228.81,268.53
108,Glutamine,3,"48 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco","Bioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h",494.0,uM,0.0,37 oC,BW25113,"Stationary Phase, glucose limited",1976000,0,"Ishii, N., Nakahigashi, K., Baba, T., Robert, M., Soga, T., Kanai, A., Hirasawa, T., Naba, M., Hirai, K., Hoque, A., Ho, P. Y., Kakazu, Y., Sugawara, K., Igarashi, S., Harada, S., Masuda, T., Sugiyama, N., Togashi, T., Hasegawa, M., Takai, Y., Yugi, K., Arakawa, K., Iwata, N., Toya, Y., Nakayama, Y., Nishioka, T., Shimizu, K., Mori, H., Tomita, M. (2007). ""Multiple high-throughput analyses monitor the response of E. coli to perturbations."" Science 316:593-597.",17379776,,Minimal,Glucose,4.0,494.0,494.0
104,Glutamine,2,Rich medium,Shake flask,232.75000000000003,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
106,Glutamine,1,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,4950.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,19800000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,4350.0,5630.0
111,Glyceraldehyde-3-phosphate,0,Gutnick minimal medium,Bioreactor,271.0,uM,0.0,37,NCM3722,Log-phase,,,"Park et al., 2016, Nat Chem Biol",27159581,,Minimal,Glucose,4.0,0.000256,0.000289
116,Glycine,1,Luria-Bertani (LB) media,Shake flask,235.33,uM,14.15,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),941333,56616,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,221.18,249.48000000000002
115,Glycine,0,"48 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco","Bioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h",318.0,uM,0.0,37 oC,BW25113,"Stationary Phase, glucose limited",1272000,0,"Ishii, N., Nakahigashi, K., Baba, T., Robert, M., Soga, T., Kanai, A., Hirasawa, T., Naba, M., Hirai, K., Hoque, A., Ho, P. Y., Kakazu, Y., Sugawara, K., Igarashi, S., Harada, S., Masuda, T., Sugiyama, N., Togashi, T., Hasegawa, M., Takai, Y., Yugi, K., Arakawa, K., Iwata, N., Toya, Y., Nakayama, Y., Nishioka, T., Shimizu, K., Mori, H., Tomita, M. (2007). ""Multiple high-throughput analyses monitor the response of E. coli to perturbations."" Science 316:593-597.",17379776,,Minimal,Glucose,4.0,318.0,318.0
114,Glycine,2,Rich medium,Shake flask,11325.0,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
113,Glycine,1,Mineral medium,Shake flask,392.50000000000006,uM,41.67401268576538,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,350.8259873142347,434.17401268576543
112,Glycine,0,Mineral medium,Bioreactor,463.3333333333333,uM,109.46989439009147,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,353.8634389432418,572.8032277234248
119,Histidine,3,"48 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco","Bioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h",52.4,uM,0.0,37 oC,BW25113,"Stationary Phase, glucose limited",209600,0,"Ishii, N., Nakahigashi, K., Baba, T., Robert, M., Soga, T., Kanai, A., Hirasawa, T., Naba, M., Hirai, K., Hoque, A., Ho, P. Y., Kakazu, Y., Sugawara, K., Igarashi, S., Harada, S., Masuda, T., Sugiyama, N., Togashi, T., Hasegawa, M., Takai, Y., Yugi, K., Arakawa, K., Iwata, N., Toya, Y., Nakayama, Y., Nishioka, T., Shimizu, K., Mori, H., Tomita, M. (2007). ""Multiple high-throughput analyses monitor the response of E. coli to perturbations."" Science 316:593-597.",17379776,,Minimal,Glucose,4.0,52.4,52.4
117,Histidine,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,67.60000000000001,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,270400,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,45.800000000000004,99.7
118,Histidine,1,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,175.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,700000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,97.80000000000001,313.0
120,Histidine,4,Luria-Bertani (LB) media,Shake flask,235.33,uM,25.7,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),941333,102788,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,209.63000000000002,261.03000000000003
121,Histidine,5,Luria-Bertani (LB) media,Shake flask,0.22,uM,0.01,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),871,34,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,0.21,0.23
122,Histidine,2,Rich medium,Shake flask,2350.0,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
123,Histidine,1,Mineral medium,Shake flask,66.25,uM,7.1064079064836525,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,59.14359209351635,73.35640790648365
124,Histidine,0,Mineral medium,Bioreactor,83.78333333333335,uM,26.26365464117877,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,57.51967869215457,110.04698797451212
125,Histidine,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,97.5,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,390000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,43.900000000000006,217.0
126,Homoserine,0,"48 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco","Bioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h",16.1,uM,0.0,37 oC,BW25113,"Stationary Phase, glucose limited",64400,0,"Ishii, N., Nakahigashi, K., Baba, T., Robert, M., Soga, T., Kanai, A., Hirasawa, T., Naba, M., Hirai, K., Hoque, A., Ho, P. Y., Kakazu, Y., Sugawara, K., Igarashi, S., Harada, S., Masuda, T., Sugiyama, N., Togashi, T., Hasegawa, M., Takai, Y., Yugi, K., Arakawa, K., Iwata, N., Toya, Y., Nakayama, Y., Nishioka, T., Shimizu, K., Mori, H., Tomita, M. (2007). ""Multiple high-throughput analyses monitor the response of E. coli to perturbations."" Science 316:593-597.",17379776,,Minimal,Glucose,4.0,16.1,16.1
129,Isocitrate,1,Mineral medium,Shake flask,2.433333333333333,uM,0.4476048604641276,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,1.9857284728692055,2.8809381937974607
128,Isocitrate,0,Gutnick minimal medium,Bioreactor,36.699999999999996,uM,0.0,37,NCM3722,Log-phase,,,"Park et al., 2016, Nat Chem Biol",27159581,,Minimal,Glucose,4.0,4.68e-06,4.29e-05
127,Isocitrate,2,Rich medium,Shake flask,5.824999999999999,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
130,Isocitrate,0,Mineral medium,Bioreactor,3.745,uM,0.9432637877780177,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,2.801736212221982,4.688263787778018
139,Isoleucine,5,Luria-Bertani (LB) media,Shake flask,178.0,uM,23.26,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),712000,93038,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,154.74,201.26
138,Isoleucine,4,Luria-Bertani (LB) media,Shake flask,172.0,uM,23.0,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),687600,92000,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,149.0,195.0
137,Isoleucine,3,"48 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco","Bioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h",33.1,uM,0.0,37 oC,BW25113,"Stationary Phase, glucose limited",132400,0,"Ishii, N., Nakahigashi, K., Baba, T., Robert, M., Soga, T., Kanai, A., Hirasawa, T., Naba, M., Hirai, K., Hoque, A., Ho, P. Y., Kakazu, Y., Sugawara, K., Igarashi, S., Harada, S., Masuda, T., Sugiyama, N., Togashi, T., Hasegawa, M., Takai, Y., Yugi, K., Arakawa, K., Iwata, N., Toya, Y., Nakayama, Y., Nishioka, T., Shimizu, K., Mori, H., Tomita, M. (2007). ""Multiple high-throughput analyses monitor the response of E. coli to perturbations."" Science 316:593-597.",17379776,,Minimal,Glucose,4.0,33.1,33.1
136,Isoleucine,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,170.5,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,680000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,282.0,413.0
135,Isoleucine,1,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,219.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,880000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,350.0,548.0
134,Isoleucine,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,151.5,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,600000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,298.0,308.0
133,Isoleucine,0,Mineral medium,Bioreactor,66.96666666666667,uM,68.93927546600543,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,-1.972608799338758,135.9059421326721
132,Isoleucine,2,Rich medium,Shake flask,8150.000000000001,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
131,Isoleucine,1,Mineral medium,Shake flask,21.083333333333332,uM,3.692200488116054,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,17.391132845217278,24.775533821449386
291,Leucine,9,M9,Shake flask,146.36470500000001,uM,131.56056030122022,37,K12 MG1655,Log-phase,,,This work,,Minimal,,L-alanine,3.5636000000000005,14.804144698779794,277.92526530122024
286,Leucine,4,M9,Shake flask,55.12492125,uM,26.927659621176396,37,K12 MG1655,Log-phase,,,This work,,Minimal,,Galactose,3.60312,28.197261628823604,82.05258087117639
148,Leucine,3,"48 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco","Bioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h",120.0,uM,0.0,37 oC,BW25113,"Stationary Phase, glucose limited",480000,0,"Ishii, N., Nakahigashi, K., Baba, T., Robert, M., Soga, T., Kanai, A., Hirasawa, T., Naba, M., Hirai, K., Hoque, A., Ho, P. Y., Kakazu, Y., Sugawara, K., Igarashi, S., Harada, S., Masuda, T., Sugiyama, N., Togashi, T., Hasegawa, M., Takai, Y., Yugi, K., Arakawa, K., Iwata, N., Toya, Y., Nakayama, Y., Nishioka, T., Shimizu, K., Mori, H., Tomita, M. (2007). ""Multiple high-throughput analyses monitor the response of E. coli to perturbations."" Science 316:593-597.",17379776,,Minimal,Glucose,4.0,120.0,120.0
296,Leucine,14,M9,Shake flask,140.93082,uM,60.772518027194536,37,K12 MG1655,Log-phase,,,This work,,Minimal,,L-malate,4.0227,80.15830197280548,201.70333802719455
140,Leucine,2,Rich medium,Shake flask,13875.0,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
141,Leucine,1,Mineral medium,Shake flask,85.08333333333333,uM,6.896845494701012,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,78.18648783863232,91.98017882803434
142,Leucine,0,Mineral medium,Bioreactor,186.66666666666666,uM,116.2768153063102,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,70.38985136035646,302.9434819729769
143,Leucine,4,Luria-Bertani (LB) media,Shake flask,202.0,uM,26.0,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),809200,104000,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,176.0,228.0
144,Leucine,5,Luria-Bertani (LB) media,Shake flask,224.33,uM,24.42,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),897333,97680,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,199.91000000000003,248.75
145,Leucine,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,170.5,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,680000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,282.0,413.0
146,Leucine,1,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,219.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,880000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,350.0,548.0
147,Leucine,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,151.5,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,600000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,298.0,308.0
149,Lysine,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,405.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,1604000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,327.0,501.99999999999994
150,Lysine,4,Luria-Bertani (LB) media,Shake flask,567.33,uM,31.5,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),2269333,126005,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,535.83,598.83
151,Lysine,3,"48 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco","Bioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h",361.0,uM,0.0,37 oC,BW25113,"Stationary Phase, glucose limited",1444000,0,"Ishii, N., Nakahigashi, K., Baba, T., Robert, M., Soga, T., Kanai, A., Hirasawa, T., Naba, M., Hirai, K., Hoque, A., Ho, P. Y., Kakazu, Y., Sugawara, K., Igarashi, S., Harada, S., Masuda, T., Sugiyama, N., Togashi, T., Hasegawa, M., Takai, Y., Yugi, K., Arakawa, K., Iwata, N., Toya, Y., Nakayama, Y., Nishioka, T., Shimizu, K., Mori, H., Tomita, M. (2007). ""Multiple high-throughput analyses monitor the response of E. coli to perturbations."" Science 316:593-597.",17379776,,Minimal,Glucose,4.0,361.0,361.0
152,Lysine,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,554.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,2216000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,414.0,743.0
153,Lysine,1,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,762.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,3048000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,551.0,1060.0
154,Lysine,0,Mineral medium,Bioreactor,512.6666666666667,uM,281.58894043938903,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,231.0777262272777,794.2556071060558
155,Lysine,1,Mineral medium,Shake flask,327.50000000000006,uM,22.0953237888322,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,305.40467621116784,349.5953237888323
