Metabolite_Conc,Metabolite,Carbon_Source,Strain,Replicate,Timepoint,OD
98.1,Succinic acid,L-Malate,Pseudomonas,2,16,0.1312
0,Lactic acid,L-Malate,Pseudomonas,2,16,0.1312
0,Alanine,L-Malate,Pseudomonas,2,16,0.1312
44.8,Fumaric acid,L-Malate,Pseudomonas,2,16,0.1312
15.1,alpha-Ketoglutaric acid,L-Malate,Pseudomonas,2,16,0.1312
0,Valine,L-Malate,Pseudomonas,2,16,0.1312
0,Glycine,L-Malate,Pseudomonas,2,16,0.1312
1.45,beta-Hydroxybutyric acid,L-Malate,Pseudomonas,2,16,0.1312
0,Asparagine,L-Malate,Pseudomonas,2,16,0.1312
0,Valeric acid,L-Malate,Pseudomonas,2,16,0.1312
0,Putrescine,L-Malate,Pseudomonas,2,16,0.1312
0,Propionic acid,L-Malate,Pseudomonas,2,16,0.1312
0.336,Acetyl-ornithine,L-Malate,Pseudomonas,2,16,0.1312
0.216,Methionine,L-Malate,Pseudomonas,2,16,0.1312
0.117,Hippuric acid,L-Malate,Pseudomonas,2,16,0.1312
4.07,Citric acid,L-Malate,Pseudomonas,2,16,0.1312
0,Butyric acid,L-Malate,Pseudomonas,2,16,0.1312
77.4,Acetic acid,L-Malate,Pseudomonas,2,16,0.1312
0,Valine,L-Malate,Pseudomonas,1,28,0.1721
0,Glycine,L-Malate,Pseudomonas,1,28,0.1721
0,Lactic acid,L-Malate,Pseudomonas,1,28,0.1721
2.37,beta-Hydroxybutyric acid,L-Malate,Pseudomonas,1,28,0.1721
0.365,Succinic acid,L-Malate,Pseudomonas,1,28,0.1721
7.41,Propionic acid,L-Malate,Pseudomonas,1,28,0.1721
2.94,Butyric acid,L-Malate,Pseudomonas,1,28,0.1721
0.242,Methionine,L-Malate,Pseudomonas,1,28,0.1721
2.45,Serine,L-Malate,Pseudomonas,1,28,0.1721
0.00854,Alanine,L-Malate,Pseudomonas,1,28,0.1721
139,Acetic acid,L-Malate,Pseudomonas,1,28,0.1721
371,Pyruvic acid,L-Malate,Pseudomonas,1,28,0.1721
1.4,Acetyl-ornithine,L-Malate,Pseudomonas,1,28,0.1721
0,Putrescine,L-Malate,Pseudomonas,1,28,0.1721
0.813,Asparagine,L-Malate,Pseudomonas,1,28,0.1721
0.169,Fumaric acid,L-Malate,Pseudomonas,1,28,0.1721
0.0897,alpha-Ketoglutaric acid,L-Malate,Pseudomonas,1,28,0.1721
0.79,Valeric acid,L-Malate,Pseudomonas,1,28,0.1721
3.23,Citric acid,L-Malate,Pseudomonas,1,28,0.1721
0.228,Hippuric acid,L-Malate,Pseudomonas,1,28,0.1721
0,Alanine,L-Malate,Pseudomonas,2,28,0.1059
2.46,beta-Hydroxybutyric acid,L-Malate,Pseudomonas,2,28,0.1059
7.21,Propionic acid,L-Malate,Pseudomonas,2,28,0.1059
2.72,alpha-Ketoglutaric acid,L-Malate,Pseudomonas,2,28,0.1059
0,Putrescine,L-Malate,Pseudomonas,2,28,0.1059
0,Valine,L-Malate,Pseudomonas,2,28,0.1059
393,Pyruvic acid,L-Malate,Pseudomonas,2,28,0.1059
1.94,Butyric acid,L-Malate,Pseudomonas,2,28,0.1059
0.269,Methionine,L-Malate,Pseudomonas,2,28,0.1059
2.19,Acetyl-ornithine,L-Malate,Pseudomonas,2,28,0.1059
2.67,Glycine,L-Malate,Pseudomonas,2,28,0.1059
87,Succinic acid,L-Malate,Pseudomonas,2,28,0.1059
16.5,Fumaric acid,L-Malate,Pseudomonas,2,28,0.1059
0,Serine,L-Malate,Pseudomonas,2,28,0.1059
136,Acetic acid,L-Malate,Pseudomonas,2,28,0.1059
0,Asparagine,L-Malate,Pseudomonas,2,28,0.1059
4.35,Citric acid,L-Malate,Pseudomonas,2,28,0.1059
0,Lactic acid,L-Malate,Pseudomonas,2,28,0.1059
0.207,Hippuric acid,L-Malate,Pseudomonas,2,28,0.1059
0.492,Valeric acid,L-Malate,Pseudomonas,2,28,0.1059
0.325,Serine,L-Malate,Pseudomonas,1,48,0.195
0.555,beta-Hydroxybutyric acid,L-Malate,Pseudomonas,1,48,0.195
0.532,Pyruvic acid,L-Malate,Pseudomonas,1,48,0.195
0,Lactic acid,L-Malate,Pseudomonas,1,48,0.195
0.153,Fumaric acid,L-Malate,Pseudomonas,1,48,0.195
0,Valine,L-Malate,Pseudomonas,1,48,0.195
2.65,Citric acid,L-Malate,Pseudomonas,1,48,0.195
0,alpha-Ketoglutaric acid,L-Malate,Pseudomonas,1,48,0.195
0,Putrescine,L-Malate,Pseudomonas,1,48,0.195
1.28,Valeric acid,L-Malate,Pseudomonas,1,48,0.195
0,Alanine,L-Malate,Pseudomonas,1,48,0.195
0.19,Succinic acid,L-Malate,Pseudomonas,1,48,0.195
0,Glycine,L-Malate,Pseudomonas,1,48,0.195
1.46,Acetyl-ornithine,L-Malate,Pseudomonas,1,48,0.195
0,Asparagine,L-Malate,Pseudomonas,1,48,0.195
4.7,Butyric acid,L-Malate,Pseudomonas,1,48,0.195
11.4,Propionic acid,L-Malate,Pseudomonas,1,48,0.195
194,Acetic acid,L-Malate,Pseudomonas,1,48,0.195
0.269,Hippuric acid,L-Malate,Pseudomonas,1,48,0.195
0.0974,Methionine,L-Malate,Pseudomonas,1,48,0.195
0,Serine,L-Malate,Pseudomonas,2,48,0.2058
0.869,beta-Hydroxybutyric acid,L-Malate,Pseudomonas,2,48,0.2058
0,Valine,L-Malate,Pseudomonas,2,48,0.2058
0,Alanine,L-Malate,Pseudomonas,2,48,0.2058
0.24,Succinic acid,L-Malate,Pseudomonas,2,48,0.2058
0,Lactic acid,L-Malate,Pseudomonas,2,48,0.2058
0.139,Fumaric acid,L-Malate,Pseudomonas,2,48,0.2058
0,Glycine,L-Malate,Pseudomonas,2,48,0.2058
276,Acetic acid,L-Malate,Pseudomonas,2,48,0.2058
4.62,Butyric acid,L-Malate,Pseudomonas,2,48,0.2058
0.107,Methionine,L-Malate,Pseudomonas,2,48,0.2058
0,alpha-Ketoglutaric acid,L-Malate,Pseudomonas,2,48,0.2058
12.3,Propionic acid,L-Malate,Pseudomonas,2,48,0.2058
148,Pyruvic acid,L-Malate,Pseudomonas,2,48,0.2058
1.59,Citric acid,L-Malate,Pseudomonas,2,48,0.2058
4.33,Acetyl-ornithine,L-Malate,Pseudomonas,2,48,0.2058
1.18,Valeric acid,L-Malate,Pseudomonas,2,48,0.2058
0,Asparagine,L-Malate,Pseudomonas,2,48,0.2058
0.22,Hippuric acid,L-Malate,Pseudomonas,2,48,0.2058
0,Putrescine,L-Malate,Pseudomonas,2,48,0.2058
0,Serine,Acetate,Pputida,1,48,0.3093
0,Alanine,Acetate,Pputida,1,48,0.3093
0,Valine,Acetate,Pputida,1,48,0.3093
1.83,Butyric acid,Acetate,Pputida,1,48,0.3093
1.19,beta-Hydroxybutyric acid,Acetate,Pputida,1,48,0.3093
2.91,Glycine,Acetate,Pputida,1,48,0.3093
0.253,Succinic acid,Acetate,Pputida,1,48,0.3093
8.18,Propionic acid,Acetate,Pputida,1,48,0.3093
0,Lactic acid,Acetate,Pputida,1,48,0.3093
0.108,Fumaric acid,Acetate,Pputida,1,48,0.3093
3060,Acetic acid,Acetate,Pputida,1,48,0.3093
0,Asparagine,Acetate,Pputida,1,48,0.3093
0.284,Methionine,Acetate,Pputida,1,48,0.3093
1.31,Acetyl-ornithine,Acetate,Pputida,1,48,0.3093
0,Hippuric acid,Acetate,Pputida,1,48,0.3093
0.877,Valeric acid,Acetate,Pputida,1,48,0.3093
0,Pyruvic acid,Acetate,Pputida,1,48,0.3093
0,alpha-Ketoglutaric acid,Acetate,Pputida,1,48,0.3093
0,Putrescine,Acetate,Pputida,1,48,0.3093
4.62,Citric acid,Acetate,Pputida,1,48,0.3093
10.8,Propionic acid,Acetate,Pputida,2,48,0.345
0,alpha-Ketoglutaric acid,Acetate,Pputida,2,48,0.345
2.65,Glycine,Acetate,Pputida,2,48,0.345
0,Valine,Acetate,Pputida,2,48,0.345
1.89,Butyric acid,Acetate,Pputida,2,48,0.345
1.35,beta-Hydroxybutyric acid,Acetate,Pputida,2,48,0.345
1.54,Acetyl-ornithine,Acetate,Pputida,2,48,0.345
0,Pyruvic acid,Acetate,Pputida,2,48,0.345
0,Alanine,Acetate,Pputida,2,48,0.345
0.0708,Fumaric acid,Acetate,Pputida,2,48,0.345
0,Serine,Acetate,Pputida,2,48,0.345
1770,Acetic acid,Acetate,Pputida,2,48,0.345
0,Asparagine,Acetate,Pputida,2,48,0.345
0,Putrescine,Acetate,Pputida,2,48,0.345
0,Hippuric acid,Acetate,Pputida,2,48,0.345
0.651,Valeric acid,Acetate,Pputida,2,48,0.345
0.164,Methionine,Acetate,Pputida,2,48,0.345
0,Lactic acid,Acetate,Pputida,2,48,0.345
0.221,Succinic acid,Acetate,Pputida,2,48,0.345
3.7,Citric acid,Acetate,Pputida,2,48,0.345
0,Serine,Acetate,Pseudomonas,1,48,0.1041
0.0766,Fumaric acid,Acetate,Pseudomonas,1,48,0.1041
0,Lactic acid,Acetate,Pseudomonas,1,48,0.1041
0,Alanine,Acetate,Pseudomonas,1,48,0.1041
1.11,beta-Hydroxybutyric acid,Acetate,Pseudomonas,1,48,0.1041
0.465,Succinic acid,Acetate,Pseudomonas,1,48,0.1041
2.16,Butyric acid,Acetate,Pseudomonas,1,48,0.1041
2.61,Glycine,Acetate,Pseudomonas,1,48,0.1041
9.86,Propionic acid,Acetate,Pseudomonas,1,48,0.1041
0,Asparagine,Acetate,Pseudomonas,1,48,0.1041
0,Pyruvic acid,Acetate,Pseudomonas,1,48,0.1041
0,alpha-Ketoglutaric acid,Acetate,Pseudomonas,1,48,0.1041
0,Valine,Acetate,Pseudomonas,1,48,0.1041
9.39,Citric acid,Acetate,Pseudomonas,1,48,0.1041
0,Putrescine,Acetate,Pseudomonas,1,48,0.1041
6560,Acetic acid,Acetate,Pseudomonas,1,48,0.1041
0.539,Valeric acid,Acetate,Pseudomonas,1,48,0.1041
0,Methionine,Acetate,Pseudomonas,1,48,0.1041
0.749,Acetyl-ornithine,Acetate,Pseudomonas,1,48,0.1041
0,Hippuric acid,Acetate,Pseudomonas,1,48,0.1041
0.708,Acetyl-ornithine,Acetate,Pseudomonas,2,48,0.1758
0,Pyruvic acid,Acetate,Pseudomonas,2,48,0.1758
3.25,Glycine,Acetate,Pseudomonas,2,48,0.1758
3.19,beta-Hydroxybutyric acid,Acetate,Pseudomonas,2,48,0.1758
0,Hippuric acid,Acetate,Pseudomonas,2,48,0.1758
0,Asparagine,Acetate,Pseudomonas,2,48,0.1758
0.109,alpha-Ketoglutaric acid,Acetate,Pseudomonas,2,48,0.1758
0,Serine,Acetate,Pseudomonas,2,48,0.1758
0,Valine,Acetate,Pseudomonas,2,48,0.1758
0,Alanine,Acetate,Pseudomonas,2,48,0.1758
3.56,Butyric acid,Acetate,Pseudomonas,2,48,0.1758
0.0957,Methionine,Acetate,Pseudomonas,2,48,0.1758
0.223,Fumaric acid,Acetate,Pseudomonas,2,48,0.1758
12840,Acetic acid,Acetate,Pseudomonas,2,48,0.1758
7.12,Succinic acid,Acetate,Pseudomonas,2,48,0.1758
0,Lactic acid,Acetate,Pseudomonas,2,48,0.1758
0.0338,Putrescine,Acetate,Pseudomonas,2,48,0.1758
5.65,Citric acid,Acetate,Pseudomonas,2,48,0.1758
11.7,Propionic acid,Acetate,Pseudomonas,2,48,0.1758
0.728,Valeric acid,Acetate,Pseudomonas,2,48,0.1758
0,Alanine,D-Fructose,Ecoli,1,16,0.0165
2.78,Glycine,D-Fructose,Ecoli,1,16,0.0165
0,beta-Hydroxybutyric acid,D-Fructose,Ecoli,1,16,0.0165
0.11,Putrescine,D-Fructose,Ecoli,1,16,0.0165
0,Valine,D-Fructose,Ecoli,1,16,0.0165
0.0168,Methionine,D-Fructose,Ecoli,1,16,0.0165
0,Acetyl-ornithine,D-Fructose,Ecoli,1,16,0.0165
0.826,Pyruvic acid,D-Fructose,Ecoli,1,16,0.0165
0.747,Succinic acid,D-Fructose,Ecoli,1,16,0.0165
0,Lactic acid,D-Fructose,Ecoli,1,16,0.0165
0,Hippuric acid,D-Fructose,Ecoli,1,16,0.0165
635,Acetic acid,D-Fructose,Ecoli,1,16,0.0165
0.772,Asparagine,D-Fructose,Ecoli,1,16,0.0165
0,alpha-Ketoglutaric acid,D-Fructose,Ecoli,1,16,0.0165
0,Serine,D-Fructose,Ecoli,1,16,0.0165
0.378,Fumaric acid,D-Fructose,Ecoli,1,16,0.0165
0.25,Valeric acid,D-Fructose,Ecoli,1,16,0.0165
0.508,Butyric acid,D-Fructose,Ecoli,1,16,0.0165
5.19,Propionic acid,D-Fructose,Ecoli,1,16,0.0165
0.598,Citric acid,D-Fructose,Ecoli,1,16,0.0165
0.809,Pyruvic acid,D-Fructose,Ecoli,2,16,0.0215
0,Serine,D-Fructose,Ecoli,2,16,0.0215
0,beta-Hydroxybutyric acid,D-Fructose,Ecoli,2,16,0.0215
630,Acetic acid,D-Fructose,Ecoli,2,16,0.0215
0.207,Valeric acid,D-Fructose,Ecoli,2,16,0.0215
0.0983,Putrescine,D-Fructose,Ecoli,2,16,0.0215
0,Asparagine,D-Fructose,Ecoli,2,16,0.0215
0,Alanine,D-Fructose,Ecoli,2,16,0.0215
0.844,Succinic acid,D-Fructose,Ecoli,2,16,0.0215
5.97,Propionic acid,D-Fructose,Ecoli,2,16,0.0215
0,Valine,D-Fructose,Ecoli,2,16,0.0215
0,Lactic acid,D-Fructose,Ecoli,2,16,0.0215
0.355,Fumaric acid,D-Fructose,Ecoli,2,16,0.0215
3.01,Glycine,D-Fructose,Ecoli,2,16,0.0215
0,Hippuric acid,D-Fructose,Ecoli,2,16,0.0215
0,alpha-Ketoglutaric acid,D-Fructose,Ecoli,2,16,0.0215
0.291,Methionine,D-Fructose,Ecoli,2,16,0.0215
0,Acetyl-ornithine,D-Fructose,Ecoli,2,16,0.0215
0.103,Butyric acid,D-Fructose,Ecoli,2,16,0.0215
0.648,Citric acid,D-Fructose,Ecoli,2,16,0.0215
305,Pyruvic acid,D-Fructose,Ecoli,1,28,0.1247
0,Serine,D-Fructose,Ecoli,1,28,0.1247
1.17,beta-Hydroxybutyric acid,D-Fructose,Ecoli,1,28,0.1247
3.06,Glycine,D-Fructose,Ecoli,1,28,0.1247
97.2,Succinic acid,D-Fructose,Ecoli,1,28,0.1247
0.325,Butyric acid,D-Fructose,Ecoli,1,28,0.1247
4.67,Valine,D-Fructose,Ecoli,1,28,0.1247
441,Lactic acid,D-Fructose,Ecoli,1,28,0.1247
0,Alanine,D-Fructose,Ecoli,1,28,0.1247
29.2,Propionic acid,D-Fructose,Ecoli,1,28,0.1247
18.3,Fumaric acid,D-Fructose,Ecoli,1,28,0.1247
0,alpha-Ketoglutaric acid,D-Fructose,Ecoli,1,28,0.1247
3.23,Acetyl-ornithine,D-Fructose,Ecoli,1,28,0.1247
4190,Acetic acid,D-Fructose,Ecoli,1,28,0.1247
0,Asparagine,D-Fructose,Ecoli,1,28,0.1247
4.53,Citric acid,D-Fructose,Ecoli,1,28,0.1247
2.61,Valeric acid,D-Fructose,Ecoli,1,28,0.1247
2.6,Putrescine,D-Fructose,Ecoli,1,28,0.1247
0,Hippuric acid,D-Fructose,Ecoli,1,28,0.1247
0.0432,Methionine,D-Fructose,Ecoli,1,28,0.1247
40.6,Succinic acid,D-Fructose,Ecoli,2,28,0.1403
6.03,Glycine,D-Fructose,Ecoli,2,28,0.1403
0,alpha-Ketoglutaric acid,D-Fructose,Ecoli,2,28,0.1403
0,Alanine,D-Fructose,Ecoli,2,28,0.1403
3.26,Valine,D-Fructose,Ecoli,2,28,0.1403
24.4,Propionic acid,D-Fructose,Ecoli,2,28,0.1403
1.01,Butyric acid,D-Fructose,Ecoli,2,28,0.1403
3.2,Acetyl-ornithine,D-Fructose,Ecoli,2,28,0.1403
0,Hippuric acid,D-Fructose,Ecoli,2,28,0.1403
247,Pyruvic acid,D-Fructose,Ecoli,2,28,0.1403
3350,Acetic acid,D-Fructose,Ecoli,2,28,0.1403
0.779,beta-Hydroxybutyric acid,D-Fructose,Ecoli,2,28,0.1403
112,Lactic acid,D-Fructose,Ecoli,2,28,0.1403
0,Serine,D-Fructose,Ecoli,2,28,0.1403
7.4,Fumaric acid,D-Fructose,Ecoli,2,28,0.1403
0.16,Asparagine,D-Fructose,Ecoli,2,28,0.1403
3.86,Citric acid,D-Fructose,Ecoli,2,28,0.1403
0.0244,Methionine,D-Fructose,Ecoli,2,28,0.1403
1.98,Putrescine,D-Fructose,Ecoli,2,28,0.1403
1.63,Valeric acid,D-Fructose,Ecoli,2,28,0.1403
0.0687,Asparagine,D-Fructose,Ecoli,1,48,0.2046
1230,Lactic acid,D-Fructose,Ecoli,1,48,0.2046
24.9,Valine,D-Fructose,Ecoli,1,48,0.2046
0.947,Pyruvic acid,D-Fructose,Ecoli,1,48,0.2046
0,alpha-Ketoglutaric acid,D-Fructose,Ecoli,1,48,0.2046
4.88,Valeric acid,D-Fructose,Ecoli,1,48,0.2046
6660,Acetic acid,D-Fructose,Ecoli,1,48,0.2046
1.39,Butyric acid,D-Fructose,Ecoli,1,48,0.2046
5.35,beta-Hydroxybutyric acid,D-Fructose,Ecoli,1,48,0.2046
29.9,Acetyl-ornithine,D-Fructose,Ecoli,1,48,0.2046
0,Alanine,D-Fructose,Ecoli,1,48,0.2046
309,Succinic acid,D-Fructose,Ecoli,1,48,0.2046
59.5,Propionic acid,D-Fructose,Ecoli,1,48,0.2046
5.61,Citric acid,D-Fructose,Ecoli,1,48,0.2046
0,Hippuric acid,D-Fructose,Ecoli,1,48,0.2046
0,Serine,D-Fructose,Ecoli,1,48,0.2046
2.78,Glycine,D-Fructose,Ecoli,1,48,0.2046
1.26,Putrescine,D-Fructose,Ecoli,1,48,0.2046
79,Fumaric acid,D-Fructose,Ecoli,1,48,0.2046
0,Methionine,D-Fructose,Ecoli,1,48,0.2046
25.5,Valine,D-Fructose,Ecoli,2,48,0.1846
3.92,beta-Hydroxybutyric acid,D-Fructose,Ecoli,2,48,0.1846
0,Serine,D-Fructose,Ecoli,2,48,0.1846
353,Succinic acid,D-Fructose,Ecoli,2,48,0.1846
1460,Lactic acid,D-Fructose,Ecoli,2,48,0.1846
69.7,Fumaric acid,D-Fructose,Ecoli,2,48,0.1846
0.695,Pyruvic acid,D-Fructose,Ecoli,2,48,0.1846
105,Alanine,D-Fructose,Ecoli,2,48,0.1846
0,alpha-Ketoglutaric acid,D-Fructose,Ecoli,2,48,0.1846
0.121,Methionine,D-Fructose,Ecoli,2,48,0.1846
4.57,Valeric acid,D-Fructose,Ecoli,2,48,0.1846
2.37,Putrescine,D-Fructose,Ecoli,2,48,0.1846
2.22,Butyric acid,D-Fructose,Ecoli,2,48,0.1846
0,Asparagine,D-Fructose,Ecoli,2,48,0.1846
4.46,Citric acid,D-Fructose,Ecoli,2,48,0.1846
30.9,Acetyl-ornithine,D-Fructose,Ecoli,2,48,0.1846
50.8,Propionic acid,D-Fructose,Ecoli,2,48,0.1846
6340,Acetic acid,D-Fructose,Ecoli,2,48,0.1846
4.36,Glycine,D-Fructose,Ecoli,2,48,0.1846
0,Hippuric acid,D-Fructose,Ecoli,2,48,0.1846
0.103,Butyric acid,D-Fructose,Enterobacter,1,16,0.252
0,Serine,D-Fructose,Enterobacter,1,16,0.252
7.47,Valine,D-Fructose,Enterobacter,1,16,0.252
170,Succinic acid,D-Fructose,Enterobacter,1,16,0.252
0.995,Acetyl-ornithine,D-Fructose,Enterobacter,1,16,0.252
3.11,Glycine,D-Fructose,Enterobacter,1,16,0.252
388,Pyruvic acid,D-Fructose,Enterobacter,1,16,0.252
0.045,alpha-Ketoglutaric acid,D-Fructose,Enterobacter,1,16,0.252
0.507,beta-Hydroxybutyric acid,D-Fructose,Enterobacter,1,16,0.252
0,Hippuric acid,D-Fructose,Enterobacter,1,16,0.252
0,Asparagine,D-Fructose,Enterobacter,1,16,0.252
3.8,Citric acid,D-Fructose,Enterobacter,1,16,0.252
0.1,Methionine,D-Fructose,Enterobacter,1,16,0.252
26.7,Fumaric acid,D-Fructose,Enterobacter,1,16,0.252
32.5,Alanine,D-Fructose,Enterobacter,1,16,0.252
5,Propionic acid,D-Fructose,Enterobacter,1,16,0.252
2000,Lactic acid,D-Fructose,Enterobacter,1,16,0.252
0.366,Putrescine,D-Fructose,Enterobacter,1,16,0.252
0.601,Valeric acid,D-Fructose,Enterobacter,1,16,0.252
4160,Acetic acid,D-Fructose,Enterobacter,1,16,0.252
35.6,Alanine,D-Fructose,Enterobacter,2,16,0.2626
9.95,Valine,D-Fructose,Enterobacter,2,16,0.2626
6,Propionic acid,D-Fructose,Enterobacter,2,16,0.2626
0.0694,alpha-Ketoglutaric acid,D-Fructose,Enterobacter,2,16,0.2626
0,Serine,D-Fructose,Enterobacter,2,16,0.2626
3.57,Glycine,D-Fructose,Enterobacter,2,16,0.2626
0.804,Valeric acid,D-Fructose,Enterobacter,2,16,0.2626
169,Succinic acid,D-Fructose,Enterobacter,2,16,0.2626
1.24,Asparagine,D-Fructose,Enterobacter,2,16,0.2626
0.56,beta-Hydroxybutyric acid,D-Fructose,Enterobacter,2,16,0.2626
1.95,Acetyl-ornithine,D-Fructose,Enterobacter,2,16,0.2626
394,Pyruvic acid,D-Fructose,Enterobacter,2,16,0.2626
1970,Lactic acid,D-Fructose,Enterobacter,2,16,0.2626
0.834,Putrescine,D-Fructose,Enterobacter,2,16,0.2626
25.3,Fumaric acid,D-Fructose,Enterobacter,2,16,0.2626
0.659,Butyric acid,D-Fructose,Enterobacter,2,16,0.2626
0.0311,Methionine,D-Fructose,Enterobacter,2,16,0.2626
0,Hippuric acid,D-Fructose,Enterobacter,2,16,0.2626
3980,Acetic acid,D-Fructose,Enterobacter,2,16,0.2626
3.92,Citric acid,D-Fructose,Enterobacter,2,16,0.2626
29,Valine,D-Fructose,Enterobacter,1,28,0.3309
3,beta-Hydroxybutyric acid,D-Fructose,Enterobacter,1,28,0.3309
3800,Lactic acid,D-Fructose,Enterobacter,1,28,0.3309
0,Asparagine,D-Fructose,Enterobacter,1,28,0.3309
242,Succinic acid,D-Fructose,Enterobacter,1,28,0.3309
5.73,Alanine,D-Fructose,Enterobacter,1,28,0.3309
8.31,Propionic acid,D-Fructose,Enterobacter,1,28,0.3309
2.67,Pyruvic acid,D-Fructose,Enterobacter,1,28,0.3309
0,Serine,D-Fructose,Enterobacter,1,28,0.3309
3.65,Glycine,D-Fructose,Enterobacter,1,28,0.3309
13.1,Acetyl-ornithine,D-Fructose,Enterobacter,1,28,0.3309
6.26,Citric acid,D-Fructose,Enterobacter,1,28,0.3309
5910,Acetic acid,D-Fructose,Enterobacter,1,28,0.3309
35.2,Fumaric acid,D-Fructose,Enterobacter,1,28,0.3309
0,Putrescine,D-Fructose,Enterobacter,1,28,0.3309
0,alpha-Ketoglutaric acid,D-Fructose,Enterobacter,1,28,0.3309
0.166,Methionine,D-Fructose,Enterobacter,1,28,0.3309
0.551,Valeric acid,D-Fructose,Enterobacter,1,28,0.3309
1.31,Butyric acid,D-Fructose,Enterobacter,1,28,0.3309
0,Hippuric acid,D-Fructose,Enterobacter,1,28,0.3309
5.3,Pyruvic acid,D-Fructose,Enterobacter,2,28,0.2995
9.48,Acetyl-ornithine,D-Fructose,Enterobacter,2,28,0.2995
15.3,Alanine,D-Fructose,Enterobacter,2,28,0.2995
29.3,Valine,D-Fructose,Enterobacter,2,28,0.2995
0,Asparagine,D-Fructose,Enterobacter,2,28,0.2995
253,Succinic acid,D-Fructose,Enterobacter,2,28,0.2995
0,Serine,D-Fructose,Enterobacter,2,28,0.2995
4.52,Glycine,D-Fructose,Enterobacter,2,28,0.2995
9.43,Propionic acid,D-Fructose,Enterobacter,2,28,0.2995
6.74,Citric acid,D-Fructose,Enterobacter,2,28,0.2995
0,Methionine,D-Fructose,Enterobacter,2,28,0.2995
2.88,beta-Hydroxybutyric acid,D-Fructose,Enterobacter,2,28,0.2995
0,Hippuric acid,D-Fructose,Enterobacter,2,28,0.2995
2.11,Butyric acid,D-Fructose,Enterobacter,2,28,0.2995
4110,Lactic acid,D-Fructose,Enterobacter,2,28,0.2995
36,Fumaric acid,D-Fructose,Enterobacter,2,28,0.2995
0.738,Valeric acid,D-Fructose,Enterobacter,2,28,0.2995
6220,Acetic acid,D-Fructose,Enterobacter,2,28,0.2995
0,alpha-Ketoglutaric acid,D-Fructose,Enterobacter,2,28,0.2995
0.0933,Putrescine,D-Fructose,Enterobacter,2,28,0.2995
186,Succinic acid,D-Fructose,Enterobacter,1,48,0.3436
0,Alanine,D-Fructose,Enterobacter,1,48,0.3436
0.955,Pyruvic acid,D-Fructose,Enterobacter,1,48,0.3436
0,Serine,D-Fructose,Enterobacter,1,48,0.3436
3.87,Valine,D-Fructose,Enterobacter,1,48,0.3436
16,Propionic acid,D-Fructose,Enterobacter,1,48,0.3436
15.2,Citric acid,D-Fructose,Enterobacter,1,48,0.3436
0,Putrescine,D-Fructose,Enterobacter,1,48,0.3436
10.1,beta-Hydroxybutyric acid,D-Fructose,Enterobacter,1,48,0.3436
0.848,Valeric acid,D-Fructose,Enterobacter,1,48,0.3436
0,alpha-Ketoglutaric acid,D-Fructose,Enterobacter,1,48,0.3436
0.137,Methionine,D-Fructose,Enterobacter,1,48,0.3436
2.98,Glycine,D-Fructose,Enterobacter,1,48,0.3436
15.5,Acetyl-ornithine,D-Fructose,Enterobacter,1,48,0.3436
2.55,Butyric acid,D-Fructose,Enterobacter,1,48,0.3436
694,Lactic acid,D-Fructose,Enterobacter,1,48,0.3436
37,Fumaric acid,D-Fructose,Enterobacter,1,48,0.3436
5970,Acetic acid,D-Fructose,Enterobacter,1,48,0.3436
0.388,Asparagine,D-Fructose,Enterobacter,1,48,0.3436
0,Hippuric acid,D-Fructose,Enterobacter,1,48,0.3436
9.5,beta-Hydroxybutyric acid,D-Fructose,Enterobacter,2,48,0.3325
217,Succinic acid,D-Fructose,Enterobacter,2,48,0.3325
11.5,Valine,D-Fructose,Enterobacter,2,48,0.3325
0,Serine,D-Fructose,Enterobacter,2,48,0.3325
0,Alanine,D-Fructose,Enterobacter,2,48,0.3325
1.87,Asparagine,D-Fructose,Enterobacter,2,48,0.3325
40.6,Fumaric acid,D-Fructose,Enterobacter,2,48,0.3325
739,Lactic acid,D-Fructose,Enterobacter,2,48,0.3325
0,Putrescine,D-Fructose,Enterobacter,2,48,0.3325
19,Propionic acid,D-Fructose,Enterobacter,2,48,0.3325
0,Hippuric acid,D-Fructose,Enterobacter,2,48,0.3325
0,alpha-Ketoglutaric acid,D-Fructose,Enterobacter,2,48,0.3325
0.966,Valeric acid,D-Fructose,Enterobacter,2,48,0.3325
3.05,Glycine,D-Fructose,Enterobacter,2,48,0.3325
1.6,Pyruvic acid,D-Fructose,Enterobacter,2,48,0.3325
2.11,Butyric acid,D-Fructose,Enterobacter,2,48,0.3325
0.0821,Methionine,D-Fructose,Enterobacter,2,48,0.3325
14.6,Citric acid,D-Fructose,Enterobacter,2,48,0.3325
5960,Acetic acid,D-Fructose,Enterobacter,2,48,0.3325
14.2,Acetyl-ornithine,D-Fructose,Enterobacter,2,48,0.3325
0.115,Asparagine,D-Fructose,Pputida,1,16,0.0113
0,beta-Hydroxybutyric acid,D-Fructose,Pputida,1,16,0.0113
0.0209,Fumaric acid,D-Fructose,Pputida,1,16,0.0113
0,Alanine,D-Fructose,Pputida,1,16,0.0113
0.251,Butyric acid,D-Fructose,Pputida,1,16,0.0113
0.198,Methionine,D-Fructose,Pputida,1,16,0.0113
0.108,Valine,D-Fructose,Pputida,1,16,0.0113
0,Serine,D-Fructose,Pputida,1,16,0.0113
