Ionization Mode,Ion Index,m/z,"Annotations (Compound Name, Modification, Sum-Formula, KEGG Code, HMDB Code)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2417,630.941,Rosmarinate .(H2PO4K)2-H(+) C18H16O8 C01850 HMDB03572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2418,631.768,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2419,631.783,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2420,632.719,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2421,632.773,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2422,632.847,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2423,633.114,Glutathione disulfide .H/Na-H(+) C20H32N6O12S2 C00127 HMDB03337,Actinorhodin -H(+) C32H26O14 C06691 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2424,633.321,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2425,633.787,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2426,633.884,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2427,633.918,GMP .(H2PO4K)2-H(+) C10H14N5O8P C00144 HMDB01397,Guanosine 3'-phosphate .(H2PO4K)2-H(+) C10H14N5O8P C06193 n.a.,Precursor Z .(H2PO4K)2-H(+) C10H14N5O8P C18239 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2428,633.960,Dihydrochelirubine .(H2PO4K)2-H(+) C21H17NO5 C05194 n.a.,2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate .(H2PO4)2NaH-H(+) C10H17N3O11P2 C11038 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2429,634.787,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2430,635.754,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2431,635.841,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2432,636.728,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2433,636.880,"1D-myo-Inositol 1,3,4-trisphosphate .(H2PO4)2NaH-H(+) C6H15O15P3 C01243 HMDB01143","D-myo-Inositol 1,4,5-trisphosphate .(H2PO4)2NaH-H(+) C6H15O15P3 C01245 HMDB01498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2434,636.971,Quercetin 3-O-glucoside .HPO4K2-H(+) C21H20O12 C05623 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2435,637.524,2-Octaprenylphenol -H(+) C46H70O C05810 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2436,637.848,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2437,637.971,Glucoerucin .(H2PO4)2NaH-H(+) C12H23NO9S3 C08409 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2438,638.738,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2439,639.831,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2440,640.698,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2441,640.808,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2442,640.867,"Sedoheptulose 1,7-bisphosphate .(H2PO4K)2-H(+) C7H16O13P2 C00447 n.a.","D-glycero-D-manno-Heptose 1,7-bisphosphate .(H2PO4K)2-H(+) C7H16O13P2 C11472 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2443,640.956,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2444,641.771,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2445,641.904,ATP .H2PO4K-H(+) C10H16N5O13P3 C00002 HMDB00538,3'-Phosphoadenylyl sulfate .H2PO4K-H(+) C10H15N5O13P2S C00053 HMDB01134,CDP .(H2PO4Na)2-H(+) C9H15N3O11P2 C00112 HMDB01546,dGTP .H2PO4K-H(+) C10H16N5O13P3 C00286 HMDB01440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2446,642.738,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2447,642.778,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2448,642.864,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2449,642.975,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2450,643.750,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2451,643.873,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2452,643.949,ADP .(H2PO4)2NaH-H(+) C10H15N5O10P2 C00008 HMDB01341,"Adenosine 3',5'-bisphosphate .(H2PO4)2NaH-H(+) C10H15N5O10P2 C00054 HMDB00061",Adenylyl sulfate .(H2PO4)2NaH-H(+) C10H14N5O10PS C00224 HMDB01003,dGDP .(H2PO4)2NaH-H(+) C10H15N5O10P2 C00361 n.a.,Deacetylcephalosporin C .(H2PO4K)2-H(+) C14H19N3O7S C03112 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2453,644.776,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2454,644.944,"4,4',6,6'-Tetranitro-2,2'-azoxytoluene .(H2PO4Na)2-H(+) C14H10N6O9 C16411 n.a.","2,4',6,6'-Tetranitro-2',4-azoxytoluene .(H2PO4Na)2-H(+) C14H10N6O9 C16412 n.a.","2,2',6,6'-Tetranitro-4,4'-azoxytoluene .(H2PO4Na)2-H(+) C14H10N6O9 C16413 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2455,645.805,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2456,645.874,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2457,646.251,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2458,646.699,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2459,646.767,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2460,646.812,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2461,646.885,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2462,647.792,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2463,647.860,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2464,647.975,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2465,648.697,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2466,648.815,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2467,649.763,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2468,649.843,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2469,650.050,"dTDP-3-amino-3,4,6-trideoxy-D-glucose .H2PO4Na-H(+) C16H27N3O13P2 C11910 n.a.","dTDP-2,6-dideoxy-D-kanosamine .H2PO4Na-H(+) C16H27N3O13P2 C18030 n.a.",dTDP-L-ristosamine .H2PO4Na-H(+) C16H27N3O13P2 C18092 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2470,650.383,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2471,650.741,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2472,652.713,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2473,652.785,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2474,652.844,"1D-myo-Inositol 1,3,4-trisphosphate .(H2PO4)2KH-H(+) C6H15O15P3 C01243 HMDB01143","D-myo-Inositol 1,4,5-trisphosphate .(H2PO4)2KH-H(+) C6H15O15P3 C01245 HMDB01498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2475,652.929,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2476,652.989,"trans,trans-Farnesyl diphosphate .(H2PO4K)2-H(+) C15H28O7P2 C00448 HMDB00961",Premithramycinone .(H2PO4Na)2-H(+) C21H18O9 C12383 n.a.,"2-cis,6-trans-Farnesyl diphosphate .(H2PO4K)2-H(+) C15H28O7P2 C16826 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2477,653.782,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2478,653.856,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2479,654.704,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2480,654.758,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2481,654.839,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2482,654.931,Tetracenomycin F2 .(H2PO4K)2-H(+) C20H16O8 C12366 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2483,655.362,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2484,655.772,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2485,655.849,CTP .HPO4K2-H(+) C9H16N3O14P3 C00063 HMDB00082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2486,656.701,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2487,657.081,Oleandolide .(H2PO4K)2-H(+) C20H34O7 C11990 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2488,657.325,Methanophenazine .H2PO4Na-H(+) C37H50N2O C11903 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2489,657.756,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2490,657.810,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2491,658.334,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2492,658.712,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2493,658.870,"1D-myo-Inositol 1,3,4-trisphosphate .(H2PO4Na)2-H(+) C6H15O15P3 C01243 HMDB01143","D-myo-Inositol 1,4,5-trisphosphate .(H2PO4Na)2-H(+) C6H15O15P3 C01245 HMDB01498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2494,659.322,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2495,659.883,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2496,660.451,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2497,660.734,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2498,661.775,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2499,662.088,Tetrahydrofolate .(H2PO4)2NaH-H(+) C19H23N7O6 C00101 HMDB01846,Daunorubicin .H2PO4K-H(+) C27H29NO10 C01907 n.a.,dTDP-D-forosamine .H2PO4Na-H(+) C18H31N3O12P2 C18034 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2500,662.467,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2501,662.678,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2502,662.727,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2503,662.801,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2504,662.868,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2505,663.468,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2506,663.759,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2507,663.823,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2508,664.724,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2509,665.747,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2510,665.916,Adenylyl sulfate .(H2PO4Na)2-H(+) C10H14N5O10PS C00224 HMDB01003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2511,666.004,CDP-4-dehydro-6-deoxy-D-glucose .H2PO4Na-H(+) C15H23N3O15P2 C01219 n.a.,"dTDP-3-amino-3,4,6-trideoxy-D-glucose .H2PO4K-H(+) C16H27N3O13P2 C11910 n.a.",Pelargonidin 3-O-glucoside .(H2PO4)2KH-H(+) C21H21O10 C12137 n.a.,Glucolesquerellin .(H2PO4)2NaH-H(+) C14H27NO9S3 C17250 n.a.,"dTDP-2,6-dideoxy-D-kanosamine .H2PO4K-H(+) C16H27N3O13P2 C18030 n.a.",dTDP-L-ristosamine .H2PO4K-H(+) C16H27N3O13P2 C18092 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2512,666.720,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2513,666.836,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2514,667.858,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine .HPO4K2-H(+) C9H16N5O13P3 C04895 HMDB00980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2515,668.119,Enterochelin -H(+) C30H27N3O15 C05821 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2516,668.685,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2517,668.763,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2518,668.814,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2519,668.879,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2520,669.127,Enterochelin [+1]-H(+) C30H27N3O15 C05821 n.a.,Leukotriene D4 .HPO4K2-H(+) C25H40N2O6S C05951 HMDB03080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2521,669.152,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2522,669.761,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2523,669.846,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2524,669.948,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2525,670.127,Enterochelin [+2]-H(+) C30H27N3O15 C05821 n.a.,13-Dihydrodaunorubicin .HPO4Na2-H(+) C27H31NO10 C12430 n.a.,(13S)-13-Dihydrodaunorubicin .HPO4Na2-H(+) C27H31NO10 C12433 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2526,670.681,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2527,670.758,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2528,671.773,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2529,672.329,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2530,672.718,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2531,672.969,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2532,673.075,"5,10-Methenyltetrahydrofolate .(H2PO4)2NaH-H(+) C20H22N7O6 C00445 HMDB01354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2533,674.686,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2534,674.771,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2535,674.831,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2536,674.914,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2537,674.966,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2538,675.760,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2539,675.850,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2540,676.689,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2541,676.742,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2542,676.834,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2543,677.328,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2544,677.754,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2545,677.843,3'-Keto-3'-deoxy-ATP .HPO4K2-H(+) C10H14N5O13P3 C07024 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2546,677.952,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2547,678.324,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2548,678.659,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2549,678.847,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2550,679.777,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2551,680.698,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2552,680.855,ITP .HPO4K2-H(+) C10H15N4O14P3 C00081 HMDB00189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2553,681.894,dADP .(H2PO4K)2-H(+) C10H15N5O9P2 C00206 HMDB01508,Guanosine 3'-diphosphate 5'-triphosphate -H(+) C10H18N5O20P5 C04494 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2554,682.009,"dTDP-4-amino-4,6-dideoxy-D-glucose .H2PO4K-H(+) C16H27N3O14P2 C04268 n.a.","N6,N6,O-Tridemethylpuromycin-5'-phosphate .HPO4K2-H(+) C19H24N7O8P C07027 n.a.","dTDP-3-amino-3,6-dideoxy-D-glucose .H2PO4K-H(+) C16H27N3O14P2 C11925 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2555,682.756,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2556,683.789,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2557,684.003,CDP-glucose .H2PO4Na-H(+) C15H25N3O16P2 C00501 HMDB03369,UDP-kanosamine .H2PO4Na-H(+) C15H25N3O16P2 C12211 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2558,684.661,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2559,684.734,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2560,684.823,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2561,684.991,UDP-glucose .H2PO4Na-H(+) C15H24N2O17P2 C00029 HMDB00286,UDP-D-galactose .H2PO4Na-H(+) C15H24N2O17P2 C00052 HMDB00302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2562,685.318,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2563,685.740,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2564,685.811,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2565,685.939,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2566,686.142,Dephospho-CoA -H(+) C21H35N7O13P2S C00882 HMDB01373,Enterochelin +OH(-) C30H27N3O15 C05821 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2567,686.461,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2568,686.733,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2569,686.804,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2570,686.959,1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole .(H2PO4)2KH-H(+) C13H19N4O12P C04823 HMDB00797,Glucobrassicin .(H2PO4Na)2-H(+) C16H20N2O9S2 C05837 n.a.,O-Carbamoyl-deacetylcephalosporin C .(H2PO4K)2-H(+) C15H20N4O8S C06568 n.a.,"dTDP-4-oxo-2,3,6-trideoxy-D-glucose .HPO4K2-H(+) C16H24N2O13P2 C18032 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2571,687.467,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2572,687.749,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2573,687.895,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2574,688.335,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2575,688.477,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2576,688.714,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2577,689.481,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
