,iML1515 metabolite ID,Metabolite name,Membrane,Direction,Transport type,iML1515 transport reaction ID,Genes
549,ni2,Nickel,outer,Import and Export,Diffusion,NI2tex,"b1377, b0929, b2215, b0241"
550,arbtn_fe3,Aerobactin,outer,Import,Proton antiport,ARBTNtonex,
551,arbtn_fe3,Aerobactin,inner,Import,ATP-binding cassette transporter,ARBTNabcpp,"b0153, b0151, b0152"
552,adocbl,Adenosylcobalamin,outer,Import,Proton antiport,ADOCBLtonex,"b3005, b3006, b3966, b1252"
553,adocbl,Adenosylcobalamin,inner,Import,ATP-binding cassette transporter,ADOCBLabcpp,"b1711, b0158, b1709"
554,h2o2,Hydrogen peroxide,outer,Import and Export,Diffusion,H2O2tex,"b1377, b0929, b2215, b0241"
555,aso3,Arsenite,outer,Import and Export,Diffusion,ASO3tex,"b1377, b0929, b2215, b0241"
556,aso3,Arsenite,inner,Export,ATP-binding cassette transporter,ASO3t8pp,b3502
557,ala_B,Beta-Alanine,inner,Import,Proton symport,BALAt2pp,b4208
558,ala_B,Beta-Alanine,outer,Import and Export,Diffusion,BALAtex,"b1377, b0929, b2215, b0241"
559,ala__D,D-Alanine,outer,Import and Export,Diffusion,DALAtex,"b1377, b0929, b2215, b0241"
560,ala__D,D-Alanine,inner,Import,Proton symport,DALAt2pp,b4208
561,amp,AMP C10H12N5O7P,outer,Import and Export,Diffusion,AMPtex,"b1377, b0929, b2215, b0241"
562,fruur,D-Fructuronate,inner,Import and Export,Proton symport,FRUURt2rpp,b4321
563,fruur,D-Fructuronate,outer,Import and Export,Diffusion,FRUURtex,"b1377, b0929, b2215, b0241"
564,dca,Decanoate (n-C10:0),inner,Import,ATP-binding cassette transporter,FACOAL100t2pp,"b1701, b1805"
565,dca,Decanoate (n-C10:0),outer,Import and Export,Diffusion,DCAtex,"b1377, b0929, b2215, b0241"
566,rib__D,D-Ribose,outer,Import and Export,Diffusion,RIBtex,"b1377, b0929, b2215, b0241"
567,rib__D,D-Ribose,inner,Import,ATP-binding cassette transporter,RIBabcpp,"b4231, b4088, b3750, b3749, b4087, b4485, b4230, b4086, b3748, b4227, b3751"
568,unagamuf,"Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose",inner,Export,Diffusion,ECAtpp,b3792
569,o16aund,O16 antigen undecaprenyl diphosphate,inner,Export,Diffusion,O16AUNDtpp,b2037
570,glyc__R,(R)-Glycerate,inner,Import and Export,Proton symport,GLYCAt2rpp,"b3127, b2789"
571,glyc__R,(R)-Glycerate,outer,Import and Export,Diffusion,GLYCAtex,"b1377, b0929, b2215, b0241"
572,fe3hox,Fe(III)hydroxamate,inner,Import,ATP-binding cassette transporter,FE3HOXabcpp,"b0153, b0151, b0152"
573,fe3hox,Fe(III)hydroxamate,outer,Import,Proton antiport,FE3HOXtonex,"b3005, b0150, b3006, b1252"
574,cu2,Copper,outer,Import and Export,Diffusion,CU2tex,"b1377, b0929, b2215, b0241"
575,cu2,Copper,inner,Export,ATP-binding cassette transporter,CU2abcpp,b3469
576,cu2,Copper,inner,Import,Diffusion,CU2tpp,b3040
577,cobalt2,Co2+,outer,Import and Export,Diffusion,COBALT2tex,"b1377, b0929, b2215, b0241"
578,cobalt2,Co2+,inner,Import,Diffusion,COBALT2tpp,"b3040, b3816"
579,cobalt2,Co2+,inner,Export,Proton antiport,COBALT2t3pp,"b0752, b3915"
580,cobalt2,Co2+,inner,Export,ATP-binding cassette transporter,COBALT2abcpp,b3469
581,mg2,Magnesium,inner,Import,ATP-binding cassette transporter,MG2uabcpp,b4242
582,mg2,Magnesium,outer,Import and Export,Diffusion,MG2tex,"b1377, b0929, b2215, b0241"
583,mg2,Magnesium,inner,Import and Export,Proton antiport,MG2t3_2pp,
584,mg2,Magnesium,inner,Import,Diffusion,MG2tpp,b3816
585,mmet,S-Methyl-L-methionine,outer,Import and Export,Diffusion,MMETtex,"b1377, b0929, b2215, b0241"
586,mmet,S-Methyl-L-methionine,inner,Import,Proton symport,MMETt2pp,b0260
587,fe3,Iron (Fe3+),outer,Import and Export,Diffusion,FE3tex,"b1377, b0929, b2215, b0241"
588,fe3,Iron (Fe3+),inner,Import,ATP-binding cassette transporter,FE3abcpp,
589,14glucan,"1,4-alpha-D-glucan",inner,Import,ATP-binding cassette transporter,14GLUCANabcpp,"b4032, b4035, b4033, b4034"
590,14glucan,"1,4-alpha-D-glucan",outer,Import,Diffusion,14GLUCANtexi,b4036
591,dimp,DIMP C10H12N4O7P,outer,Import and Export,Diffusion,DIMPtex,"b1377, b0929, b2215, b0241"
592,etoh,Ethanol,inner,Import and Export,Diffusion,ETOHtrpp,
593,etoh,Ethanol,outer,Import and Export,Diffusion,ETOHtex,"b1377, b0929, b2215, b0241"
594,h2s,Hydrogen sulfide,inner,Export,Diffusion,H2St1pp,
595,h2s,Hydrogen sulfide,outer,Import and Export,Diffusion,H2Stex,"b1377, b0929, b2215, b0241"
596,cellb,Cellobiose,???,Import,PEP group translocation,CELBpts,"b1736, b1738, b2415, b1737, b2715, b2416"
597,cellb,Cellobiose,outer,Import and Export,Diffusion,CLBtex,"b1377, b0929, b2215, b0241"
598,tym,Tyramine,outer,Import and Export,Diffusion,TYMtex,"b1377, b0929, b2215, b0241"
599,cmp,CMP C9H12N3O8P,outer,Import and Export,Diffusion,CMPtex,"b1377, b0929, b2215, b0241"
600,dump,DUMP C9H11N2O8P,outer,Import and Export,Diffusion,DUMPtex,"b1377, b0929, b2215, b0241"
601,xmp,Xanthosine 5'-phosphate,outer,Import and Export,Diffusion,XMPtex,"b1377, b0929, b2215, b0241"
602,uLa4n,Undecaprenyl phosphate-4-amino-4-deoxy-L-arabinose,inner,Export,Diffusion,ULA4Ntppi,"b2258, b4544"
603,cl,Chloride,outer,Import and Export,Diffusion,CLtex,"b1377, b0929, b2215, b0241"
604,cl,Chloride,inner,Export,Proton antiport,CLt3_2pp,b0155
605,cl,Chloride,inner,Import,Diffusion,CLtipp,b1592
606,cys__D,D-Cysteine,inner,Import,ATP-binding cassette transporter,CYSDabcpp,
607,cys__D,D-Cysteine,outer,Import and Export,Diffusion,CYSDtex,"b1377, b0929, b2215, b0241"
608,gmp,GMP C10H12N5O8P,outer,Import and Export,Diffusion,GMPtex,"b1377, b0929, b2215, b0241"
609,imp,IMP C10H11N4O8P,outer,Import and Export,Diffusion,IMPtex,"b1377, b0929, b2215, b0241"
610,g3pi,Sn-Glycero-3-phospho-1-inositol,outer,Import and Export,Diffusion,G3PItex,"b1377, b0929, b2215, b0241"
611,g3pi,Sn-Glycero-3-phospho-1-inositol,inner,Import,ATP-binding cassette transporter,G3PIabcpp,"b3452, b3450, b3451, b3453"
612,g3pg,Glycerophosphoglycerol,inner,Import,ATP-binding cassette transporter,G3PGabcpp,"b3452, b3450, b3451, b3453"
613,g3pg,Glycerophosphoglycerol,outer,Import and Export,Diffusion,G3PGtex,"b1377, b0929, b2215, b0241"
614,g3pe,Sn-Glycero-3-phosphoethanolamine,inner,Import,ATP-binding cassette transporter,G3PEabcpp,"b3452, b3450, b3451, b3453"
615,g3pe,Sn-Glycero-3-phosphoethanolamine,outer,Import and Export,Diffusion,G3PEtex,"b1377, b0241, b0929, b2215"
616,g3pc,Sn-Glycero-3-phosphocholine,outer,Import and Export,Diffusion,G3PCtex,"b1377, b0929, b2215, b0241"
617,g3pc,Sn-Glycero-3-phosphocholine,inner,Import,ATP-binding cassette transporter,G3PCabcpp,"b3452, b3450, b3451, b3453"
618,ump,UMP C9H11N2O9P,outer,Import and Export,Diffusion,UMPtex,"b1377, b0241, b0929, b2215"
619,g1p,D-Glucose 1-phosphate,outer,Import and Export,Diffusion,G1Ptex,"b1377, b0929, b2215, b0241"
620,mn2,Manganese,inner,Import,Diffusion,MN2tpp,b3040
621,mn2,Manganese,inner,Import,Proton symport,MNt2pp,b2392
622,mn2,Manganese,inner,Export,Proton antiport,MN2t3pp,"b0752, b3915"
623,mn2,Manganese,outer,Import and Export,Diffusion,MNtex,"b1377, b0929, b2215, b0241"
624,mn2,Manganese,inner,Export,Diffusion,MN2tipp,b1821
625,gal1p,Alpha-D-Galactose 1-phosphate,outer,Import and Export,Diffusion,GAL1Ptex,"b1377, b0929, b2215, b0241"
626,o2s,Superoxide anion,outer,Import and Export,Diffusion,O2Stex,"b1377, b0929, b2215, b0241"
627,hom__L,L-Homoserine,inner,Export,Proton antiport,HOMt2pp,"b3824, b0813"
628,hom__L,L-Homoserine,outer,Import and Export,Diffusion,HOMtex,"b1377, b0929, b2215, b0241"
629,so2,Sulfur dioxide,outer,Import and Export,Diffusion,SO2tex,"b1377, b0929, b2215, b0241"
630,so2,Sulfur dioxide,inner,Import and Export,Diffusion,SO2tpp,
631,damp,DAMP C10H12N5O6P,outer,Import and Export,Diffusion,DAMPtex,"b1377, b0929, b2215, b0241"
632,dcmp,DCMP C9H12N3O7P,outer,Import and Export,Diffusion,DCMPtex,"b1377, b0929, b2215, b0241"
633,dgmp,DGMP C10H12N5O7P,outer,Import and Export,Diffusion,DGMPtex,"b1377, b0929, b2215, b0241"
634,dtmp,DTMP C10H13N2O8P,outer,Import and Export,Diffusion,DTMPtex,"b1377, b0929, b2215, b0241"
635,acser,O-Acetyl-L-serine,outer,Import and Export,Diffusion,ACSERtex,"b1377, b0929, b2215, b0241"
636,acser,O-Acetyl-L-serine,inner,Export,Diffusion,ACSERtpp,"b1533, b2578"
637,2agpe120,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),inner,Import,Diffusion,2AGPE120tipp,b2835
638,2ddecg3p,2-dodecanoyl-sn-glycerol 3-phosphate,inner,Import,Diffusion,2AGPA120tipp,b2835
639,2agpg180,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),inner,Import,Diffusion,2AGPG180tipp,b2835
640,alaala,D-Alanyl-D-alanine,inner,Import,ATP-binding cassette transporter,ALAALAabcpp,"b3543, b1484, b3542, b3540, b1487, b3544, b3541, b1486, b1483, b1485"
641,alaala,D-Alanyl-D-alanine,outer,Import and Export,Diffusion,ALAALAtex,"b1377, b0929, b2215, b0241"
642,2agpg141,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),inner,Import,Diffusion,2AGPG141tipp,b2835
643,2agpg161,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),inner,Import,Diffusion,2AGPG161tipp,b2835
644,2agpg181,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),inner,Import,Diffusion,2AGPG181tipp,b2835
645,pg161,"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)",inner,Export,ATP-binding cassette transporter,PG161abcpp,b0914
646,pgp120,"Phosphatidylglycerophosphate (didodecanoyl, n-C12:0)",inner,Export,ATP-binding cassette transporter,PGP120abcpp,b0914
647,pgp161,"Phosphatidylglycerophosphate (dihexadec-9-enoyl, n-C16:1)",inner,Export,ATP-binding cassette transporter,PGP161abcpp,b0914
648,pgp181,"Phosphatidylglycerophosphate (dioctadec-11-enoyl, n-C18:1)",inner,Export,ATP-binding cassette transporter,PGP181abcpp,b0914
649,pa120,"1,2-didodecanoyl-sn-glycerol 3-phosphate",inner,Export,ATP-binding cassette transporter,PA120abcpp,b0914
650,ttdcea,Tetradecenoate (n-C14:1),inner,Import,ATP-binding cassette transporter,FACOAL141t2pp,"b1701, b1805"
651,ttdcea,Tetradecenoate (n-C14:1),outer,Import,Diffusion,TTDCEAtexi,b2344
652,hdcea,Hexadecenoate (n-C16:1),outer,Import,Diffusion,HDCEAtexi,b2344
653,hdcea,Hexadecenoate (n-C16:1),inner,Import,ATP-binding cassette transporter,FACOAL161t2pp,"b1701, b1805"
654,pa160,"1,2-dihexadecanoyl-sn-glycerol 3-phosphate",inner,Export,ATP-binding cassette transporter,PA160abcpp,b0914
655,pa181,"1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate",inner,Export,ATP-binding cassette transporter,PA181abcpp,b0914
656,12dgr141,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",inner,Import,Diffusion,12DGR141tipp,
657,progly,L-Prolinylglycine,inner,Import,ATP-binding cassette transporter,PROGLYabcpp,"b3544, b3543, b3541, b3542, b3540"
658,progly,L-Prolinylglycine,outer,Import and Export,Diffusion,PROGLYtex,"b1377, b0929, b2215, b0241"
659,gthrd,Reduced glutathione,inner,Import,ATP-binding cassette transporter,GTHRDabcpp,"b0831, b0829, b0832, b0830"
660,gthrd,Reduced glutathione,outer,Import and Export,Diffusion,GTHRDtex,"b1377, b0929, b2215, b0241"
661,gthrd,Reduced glutathione,inner,Export,ATP-binding cassette transporter,GTHRDabc2pp,"b0886, b0887"
662,2agpg140,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),inner,Import,Diffusion,2AGPG140tipp,b2835
663,2agpg160,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),inner,Import,Diffusion,2AGPG160tipp,b2835
664,pg160,"Phosphatidylglycerol (dihexadecanoyl, n-C16:0)",inner,Export,ATP-binding cassette transporter,PG160abcpp,b0914
665,pgp140,"Phosphatidylglycerophosphate (ditetradecanoyl, n-C14:0)",inner,Export,ATP-binding cassette transporter,PGP140abcpp,b0914
666,34dhpac,"3,4-Dihydroxyphenylacetaldehyde",outer,Import and Export,Diffusion,34dhpactex,"b1377, b0929, b2215, b0241"
667,fe3dhbzs,"Ferric 2,3-dihydroxybenzoylserine",outer,Import,Proton antiport,FE3DHBZStonex,"b0805, b3006, b1252, b3005, b2155"
668,23dappa,"2,3-diaminopropionate",inner,Import,Proton symport,23DAPPAt2pp,
669,23dappa,"2,3-diaminopropionate",outer,Import and Export,Diffusion,23DAPPAtex,"b1377, b0929, b2215, b0241"
670,gsn,Guanosine,inner,Import,Proton symport,GSNt2pp,b2964
671,gsn,Guanosine,inner,Export,Proton antiport,GSNt3pp,b3662
672,gsn,Guanosine,outer,Import and Export,Diffusion,GSNtex,"b1377, b0929, b2215, b0241"
673,udcpp,Undecaprenyl phosphate,inner,Import,Diffusion,UDCPPtppi,
674,minohp,Myo-Inositol hexakisphosphate,outer,Import,Diffusion,MINOHPtexi,
675,12ppd__R,"(R)-Propane-1,2-diol",inner,Import and Export,Diffusion,12PPDRtpp,
676,12ppd__R,"(R)-Propane-1,2-diol",outer,Import and Export,Diffusion,12PPDRtex,"b1377, b0929, b2215, b0241"
677,kdo2lipid4,KDO(2)-lipid IV(A),outer,Export,ATP-binding cassette transporter,K2L4Aabctex,"b3199, b0641, b0054, b3201, b3200, b4261, b4262"
678,kdo2lipid4,KDO(2)-lipid IV(A),inner,Export,ATP-binding cassette transporter,K2L4Aabcpp,b0914
679,colipa,Core oligosaccharide lipid A,inner,Export,ATP-binding cassette transporter,COLIPAabcpp,b0914
680,colipa,Core oligosaccharide lipid A,outer,Export,ATP-binding cassette transporter,COLIPAabctex,"b3199, b0641, b0054, b3201, b3200, b4261, b4262"
681,f6p,D-Fructose 6-phosphate,inner,Import,pi antiporter,F6Pt6_2pp,b3666
682,f6p,D-Fructose 6-phosphate,outer,Import and Export,Diffusion,F6Ptex,"b1377, b0929, b2215, b0241"
683,ppal,Propanal,outer,Import and Export,Diffusion,PPALtex,"b1377, b0929, b2215, b0241"
684,ppal,Propanal,inner,Import and Export,Diffusion,PPALtpp,
685,gam6p,D-Glucosamine 6-phosphate,inner,Import,pi antiporter,GAM6Pt6_2pp,b3666
686,gam6p,D-Glucosamine 6-phosphate,outer,Import and Export,Diffusion,GAMAN6Ptex,"b1377, b0929, b2215, b0241"
687,ca2,Calcium,outer,Import and Export,Diffusion,CA2tex,"b1377, b0929, b2215, b0241"
688,ca2,Calcium,inner,Export,Proton antiport,CA2t3pp,b1216
689,ca2,Calcium,inner,Import and Export,Sodium antiport,CAt6pp,b3196
690,pe141,"Phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)",inner,Export,ATP-binding cassette transporter,PE141abcpp,b0914
691,pe160,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",inner,Export,ATP-binding cassette transporter,PE160abcpp,b0914
692,pe161,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)",inner,Export,ATP-binding cassette transporter,PE161abcpp,b0914
693,pg140,"Phosphatidylglycerol (ditetradecanoyl, n-C14:0)",inner,Export,ATP-binding cassette transporter,PG140abcpp,b0914
694,pg141,"Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)",inner,Export,ATP-binding cassette transporter,PG141abcpp,b0914
695,12dgr140,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",inner,Import,Diffusion,12DGR140tipp,
696,pg180,"Phosphatidylglycerol (dioctadecanoyl, n-C18:0)",inner,Export,ATP-binding cassette transporter,PG180abcpp,b0914
697,12dgr160,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",inner,Import,Diffusion,12DGR160tipp,
698,pg181,"Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)",inner,Export,ATP-binding cassette transporter,PG181abcpp,b0914
699,pgp141,"Phosphatidylglycerophosphate (ditetradec-7-enoyl, n-C14:1)",inner,Export,ATP-binding cassette transporter,PGP141abcpp,b0914
700,pgp160,"Phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)",inner,Export,ATP-binding cassette transporter,PGP160abcpp,b0914
701,12dgr180,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",inner,Import,Diffusion,12DGR180tipp,
702,pgp180,"Phosphatidylglycerophosphate (dioctadecanoyl, n-C18:0)",inner,Export,ATP-binding cassette transporter,PGP180abcpp,b0914
703,pa140,"1,2-ditetradecanoyl-sn-glycerol 3-phosphate",inner,Export,ATP-binding cassette transporter,PA140abcpp,b0914
704,12dgr120,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",inner,Import,Diffusion,12DGR120tipp,
705,pg120,"Phosphatidylglycerol (didodecanoyl, n-C12:0)",inner,Export,ATP-binding cassette transporter,PG120abcpp,b0914
706,pe140,"Phosphatidylethanolamine (ditetradecanoyl, n-C14:0)",inner,Export,ATP-binding cassette transporter,PE140abcpp,b0914
707,2agpe140,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0),inner,Import,Diffusion,2AGPE140tipp,b2835
708,2agpe160,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),inner,Import,Diffusion,2AGPE160tipp,b2835
709,2agpe180,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),inner,Import,Diffusion,2AGPE180tipp,b2835
710,2agpe141,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),inner,Import,Diffusion,2AGPE141tipp,b2835
711,2agpe161,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),inner,Import,Diffusion,2AGPE161tipp,b2835
712,2hdec9eg3p,2-hexadec-9-enoyl-sn-glycerol 3-phosphate,inner,Import,Diffusion,2AGPA161tipp,b2835
713,2odec11eg3p,2-octadec-11-enoyl-sn-glycerol 3-phosphate,inner,Import,Diffusion,2AGPA181tipp,b2835
714,2agpg120,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),inner,Import,Diffusion,2AGPG120tipp,b2835
715,pa141,"1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate",inner,Export,ATP-binding cassette transporter,PA141abcpp,b0914
716,pa161,"1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate",inner,Export,ATP-binding cassette transporter,PA161abcpp,b0914
717,pa180,"1,2-dioctadecanoyl-sn-glycerol 3-phosphate",inner,Export,ATP-binding cassette transporter,PA180abcpp,b0914
718,pe120,"Phosphatidylethanolamine (didodecanoyl, n-C12:0)",inner,Export,ATP-binding cassette transporter,PE120abcpp,b0914
719,pe180,"Phosphatidylethanolamine (dioctadecanoyl, n-C18:0)",inner,Export,ATP-binding cassette transporter,PE180abcpp,b0914
720,cgly,Cys Gly C5H10N2O3S,inner,Import,ATP-binding cassette transporter,CGLYabcpp,"b3544, b3543, b3541, b3542, b3540"
721,cgly,Cys Gly C5H10N2O3S,outer,Import and Export,Diffusion,CGLYtex,"b1377, b0929, b2215, b0241"
722,gthox,Oxidized glutathione,outer,Import and Export,Diffusion,GTHOXtex,"b1377, b0929, b2215, b0241"
723,2agpe181,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),inner,Import,Diffusion,2AGPE181tipp,b2835
724,2tdecg3p,2-tetradecanoyl-sn-glycerol 3-phosphate,inner,Import,Diffusion,2AGPA140tipp,b2835
725,2hdecg3p,2-hexadecanoyl-sn-glycerol 3-phosphate,inner,Import,Diffusion,2AGPA160tipp,b2835
726,2odecg3p,2-octadecanoyl-sn-glycerol 3-phosphate,inner,Import,Diffusion,2AGPA180tipp,b2835
727,2tdec7eg3p,2-tetradec-7-enoyl-sn-glycerol 3-phosphate,inner,Import,Diffusion,2AGPA141tipp,b2835
728,pe181,"Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)",inner,Export,ATP-binding cassette transporter,PE181abcpp,b0914
729,12dgr161,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",inner,Import,Diffusion,12DGR161tipp,
730,12dgr181,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",inner,Import,Diffusion,12DGR181tipp,
731,5dglcn,5-Dehydro-D-gluconate,outer,Import and Export,Diffusion,5DGLCNtex,"b1377, b0929, b2215, b0241"
732,5dglcn,5-Dehydro-D-gluconate,inner,Import and Export,Proton symport,5DGLCNt2rpp,b4265
733,galctn__L,L-Galactonate,outer,Import and Export,Diffusion,GALCTNLtex,"b1377, b0241, b0929, b2215"
734,galctn__L,L-Galactonate,inner,Import,Proton symport,GALCTNLt2pp,b4356
735,mal__D,D-Malate,outer,Import and Export,Diffusion,MALDtex,"b1377, b0929, b2215, b0241"
736,mal__D,D-Malate,inner,Import,Proton antiport,MALDt2_2pp,b3528
737,orot,Orotate C5H3N2O4,inner,Import,Proton antiport,OROTt2_2pp,b3528
738,orot,Orotate C5H3N2O4,outer,Import and Export,Diffusion,OROTtex,"b1377, b0241, b0929, b2215"
739,ppa,Propionate (n-C3:0),outer,Import and Export,Diffusion,PPAtex,"b1377, b0929, b2215, b0241"
740,ppa,Propionate (n-C3:0),inner,Import,Sodium symport,PPAt4pp,b1015
741,psclys,Psicoselysine,inner,Import,Proton symport,PSCLYSt2pp,b3370
742,psclys,Psicoselysine,outer,Import and Export,Diffusion,PSCLYStex,"b1377, b0241, b0929, b2215"
743,5mtr,5-Methylthio-D-ribose,inner,Export,Proton symport,5MTRtpp,
744,5mtr,5-Methylthio-D-ribose,outer,Import and Export,Diffusion,5MTRtex,"b1377, b0241, b0929, b2215"
745,thym,Thymine C5H6N2O2,inner,Export,Proton antiport,THYMt3pp,
746,thym,Thymine C5H6N2O2,outer,Import and Export,Diffusion,THYMtex,"b1377, b0929, b2215, b0241"
747,LalaDglu,L-alanine-D-glutamate,inner,Import,Proton symport,LALADGLUtpp,"b1634, b0709, b3496, b4130"
748,LalaDglu,L-alanine-D-glutamate,outer,Import and Export,Diffusion,LALADGLUtex,"b1377, b0929, b2215, b0241"
749,LalaLglu,L-alanine-L-glutamate,outer,Import and Export,Diffusion,LALALGLUtex,"b1377, b0929, b2215, b0241"
750,LalaLglu,L-alanine-L-glutamate,inner,Import,Proton symport,LALALGLUtpp,"b1634, b0709, b3496, b4130"
751,3hpp,3-Hydroxypropanoate,inner,Export,Proton symport,3HPPtpp,
752,3hpp,3-Hydroxypropanoate,outer,Import and Export,Diffusion,3HPPtex,"b1377, b0241, b0929, b2215"
753,cm,Chloramphenicol,outer,Export,Proton symport,CMtpp,"b3035, b0462, b2470, b0463"
754,cm,Chloramphenicol,outer,Import and Export,Diffusion,CMtex,"b1377, b0241, b0929, b2215"
755,fusa,Fusidic acid,outer,Export,Proton symport,FUSAtpp,"b3035, b0462, b2470, b0463"
756,fusa,Fusidic acid,outer,Import and Export,Diffusion,FUSAtex,"b1377, b0241, b0929, b2215"
757,rfamp,Rifampin,outer,Export,Proton symport,RFAMPtpp,"b3035, b0462, b2470, b0463"
758,rfamp,Rifampin,outer,Import and Export,Diffusion,RFAMPtex,
759,mincyc,Minocycline,outer,Import and Export,Diffusion,MINCYCtex,"b1377, b0929, b2215, b0241"
760,mincyc,Minocycline,outer,Export,Proton symport,MINCYCtpp,"b3035, b0462, b2470, b0463"
761,meoh,Methanol,outer,Import and Export,Diffusion,MEOHtex,"b1377, b0241, b0929, b2215"
762,meoh,Methanol,inner,Import and Export,Diffusion,MEOHtrpp,
763,doxrbcn,Doxorubicin,outer,Import and Export,Diffusion,DOXRBCNtex,"b1377, b0241, b0929, b2215"
764,doxrbcn,Doxorubicin,outer,Export,Proton symport,DOXRBCNtpp,"b3035, b0462, b2470, b0463"
765,sel,Selenate,outer,Import and Export,Diffusion,SELtex,"b1377, b0241, b0929, b2215"
766,sel,Selenate,inner,Import,ATP-binding cassette transporter,SELabcpp,"b2425, b2424, b2423, b3917, b2422"
767,ttrcyc,Tetracycline,outer,Export,Proton symport,TTRCYCtpp,"b3035, b0462, b2470, b0463"
768,ttrcyc,Tetracycline,outer,Import and Export,Diffusion,TTRCYCtex,"b1377, b0241, b0929, b2215"
769,novbcn,Novobiocin,outer,Import and Export,Diffusion,NOVBCNtex,
770,novbcn,Novobiocin,outer,Export,Proton symport,NOVBCNtpp,"b3035, b0462, b2470, b0463"
771,slnt,Selenite,inner,Import,ATP-binding cassette transporter,SLNTabcpp,"b2425, b2424, b2423, b3917, b2422"
772,slnt,Selenite,outer,Import and Export,Diffusion,SLNTtex,"b1377, b0241, b0929, b2215"
773,acolipa,4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A,outer,Export,ATP-binding cassette transporter,ACOLIPAabctex,"b3199, b0641, b0054, b3201, b3200, b4261, b4262"
774,eca4colipa,(enterobacterial common antigen)x4 core oligosaccharide lipid A,outer,Export,ATP-binding cassette transporter,ECA4COLIPAabctex,"b3199, b0641, b0054, b3201, b3200, b4261, b4262"
775,colipap,Core oligosaccharide lipid A diphosphate,outer,Export,ATP-binding cassette transporter,COLIPAPabctex,"b3199, b0641, b0054, b3201, b3200, b4261, b4262"
776,ch4,Methane,inner,Export,Diffusion,CH4t2pp,
777,ch4,Methane,outer,Import and Export,Diffusion,CH4tex,
778,tartr__D,D-tartrate,inner,Import,Proton antiport,TARTt2_3pp,b4123
779,tartr__D,D-tartrate,outer,Import and Export,Diffusion,TARTRDtex,"b1377, b0929, b2215, b0241"
780,tartr__D,D-tartrate,inner,Import and Export,succ antiporter,SUCTARTtpp,b4123
781,btn,Biotin,outer,Import and Export,Diffusion,BTNtex,"b1377, b0929, b2215, b0241"
782,btn,Biotin,inner,Import,Proton symport,BTNt2ipp,
783,fe3dhbzs3,2-3-dihydroxybenzoylserine trimer-Fe-III,inner,Import,ATP-binding cassette transporter,DHBSZ3FEabcpp,"b0592, b0590, b0589, b0588"
784,dxylnt,D-Xylonate,inner,Import and Export,Diffusion,DXYLONtpp,
785,dxylnt,D-Xylonate,outer,Import and Export,Diffusion,DXYLONtex,"b1377, b0929, b2215"
786,2dglc,2 Deoxy D glucose C6H12O5,outer,Import and Export,Diffusion,2DGLCtex,"b1377, b0929, b2215, b0241"
787,2dglc,2 Deoxy D glucose C6H12O5,inner,Import,PEP group translocation,2DGLCptspp,"b2415, b1819, b1818, b1817, b2416"
788,arbt,Arbutin C12H16O7,outer,Import,Diffusion,ARBTtex,"b1377, b0241, b0929, b2215"
789,arbt,Arbutin C12H16O7,inner,Import,PEP group translocation,ARBTptspp,"b3722, b2715, b2415, b2416"
790,pydx,Pyridoxal,outer,Import and Export,Diffusion,PYDXtex,"b1377, b0241, b0929, b2215"
